Filename,StartLoss,EndLoss
cleaned_5. Le PP en bulgare.txt, 0.6078022119175661, 0.6203892805535
cleaned_19. Le PP en Twents.txt, 0.6843809432032, 0.867202948677313
cleaned_7. Le PP en roumain.txt, 0.7205471380151115, 0.8061993718135995
cleaned_68. Le PP en bribri.txt, 0.5869712990917917, 0.7686132022175984
cleaned_PP-2813_sambahsa.txt, 0.651453530319517, 0.7632559450370017
cleaned_50. Le PP en Scots.txt, 0.6398845798367012, 0.9281485338196571
cleaned_79. Le PP en Lule Saame.txt, 0.7340421776737306, 0.9386943256978179
cleaned_PP-6039  Ourdou.txt, 0.5789472185889704, 0.8575755270692194
cleaned_11. Le Petit Prince en Franais.txt, 0.6781241511240697, 0.9424432543789898
cleaned_10. Le PP en czecque.txt, 0.6933342707399318, 0.8709058766060354
cleaned_PP-0726_ido.txt, 0.6507569399170842, 0.7301044708181466
cleaned_78. Le PP en Interslavic_cyrillic.txt, 0.6202747296601453, 0.9027199333312407
cleaned_41. Le PP en Dzonkha.txt, 0.6939240035697772, 0.8761413140315871
cleaned_45. Le PP en Wayuunaiki.txt, 0.7085799388034769, 0.9110331765801402
cleaned_46. Le PP en Haut-valaisan.txt, 0.6323241678179122, 0.9103010907874088
cleaned_55. Le PP en totonaque de la Sierra.txt, 0.6932905514550202, 0.8509769393184862
cleaned_PP-1612 bouriate.txt, 0.8321355723004983, 0.8447925705693369
cleaned_16. Le PP en anglais.txt, 0.6478163404903159, 0.7845238915397386
cleaned_17. Le PP en Berbere amazighe.txt, 0.6501334095332475, 1.0376383893719012
cleaned_88. Le PP en Cham.txt, 0.5776616912174609, 0.7000823211430873
cleaned_53. Le PP en Lanna.txt, 0.5270836251410167, 0.5871428866735928
cleaned_59. Le PP en Rumantsch Grischun.txt, 0.6513313922201645, 0.8128124972877134
cleaned_PP-3546_tatar.txt, 0.5042918174951404, 0.7314407741067197
cleaned_PP-0748_arabe_algerien.txt, 0.5381336213450454, 0.7120870849830198
cleaned_28. Le PP en azerbaijani.txt, 0.6561864612555082, 0.8469713720679969
cleaned_86. Le PP en Hiligaynon.txt, 0.639784885011035, 0.8898448161543054
cleaned_29. Le PP en belarusse.txt, 0.6488700070911169, 0.7356506122879246
cleaned_51. Le PP en Patois Vaudois.txt, 0.6463216609087075, 0.7939319208625051
cleaned_77. Le PP en Interslavic_latin.txt, 0.6710792446540688, 0.924244253116372
cleaned_66. Le PP en turc dialecte de Denizli.txt, 0.7720510554528518, 0.7999001868841725
cleaned_30. Le PP en chinois.txt, 0.8354574420930128, 0.5937755372652402
cleaned_20. Le PP en Chamorro.txt, 0.6737325914006045, 0.8988446219599481
cleaned_69. Le PP en Oudmourte.txt, 0.6318756206884913, 0.8331351734263903
cleaned_49. Le PP en Bemba.txt, 0.6660574162589226, 0.8973381105815734
cleaned_12. Le PP en Toki Pona.txt, 0.5625145507171208, 0.5666348810905031
cleaned_52. Le PP en Patois Fribourgeois.txt, 0.6262274498681246, 0.7719856887550227
cleaned_58. Le PP en Soundanais.txt, 0.6512677764160273, 0.7518861719759797
cleaned_PP-0328_quichua-ou-kichwa.txt, 0.6158157340008518, 0.8560069916082456
cleaned_61. Le PP en Italien (CSS).txt, 0.6750393947833392, 0.8340072245997003
cleaned_35. Le PP en coreen.txt, 0.6508527615536744, 0.4419589674463136
cleaned_73. Le PP en Bouriate.txt, 0.8367359128323703, 0.8612486367477957
cleaned_76. Le PP en Limonese.txt, 0.6186026792418141, 0.7966498915034854
cleaned_31. Le PP en georgien.txt, 0.48525626044951103, 0.6018941129700367
cleaned_PP-5534 Oudih.txt, 0.6940604671629723, 0.7978853857613156
cleaned_81. Le PP en Esperanto Reformate.txt, 0.6540602926823728, 0.8358258725716855
cleaned_16. Le PP en Jerriais.txt, 0.6812513003150967, 1.0551925311820725
cleaned_74. Le PP en Vietnamien.txt, 0.7170225359560347, 0.8296992302569826
cleaned_65. Le PP en Appenzellois.txt, 0.6533617922140942, 0.8224287768450408
cleaned_11. Le PP en russe.txt, 0.612280202120547, 0.7234012008475947
cleaned_4. Le PP en lithuanien.txt, 0.654281541976161, 0.8775327439427612
cleaned_26. Le PP en bulgarien.txt, 0.6474482814133354, 0.7918797673408887
cleaned_47. Le PP en Mashi.txt, 0.7623615567047743, 0.8804881463798332
cleaned_8. Le PP en tourk.txt, 0.6750412517918002, 0.8419503925910043
cleaned_PP-2995_dzongka.txt, 0.651773731635587, 0.7381875511326448
cleaned_34. Le PP en japonais.txt, 0.7591448997059246, 0.6484018817867779
cleaned_13. Le PP en Urdu indien.txt, 0.5812585574343649, 0.7387667786003392
cleaned_62. Le PP en Allemand (CSS).txt, 0.6501689049235458, 0.9556712031635249
cleaned_1. Le PP en polonais.txt, 0.7155655801748779, 0.7716857023024859
cleaned_24. Le PP en Samogitien.txt, 0.700485769495597, 0.9038603487558651
cleaned_PP-3974  espagnol.txt, 0.647776918853557, 0.699965064323118
cleaned_87. Le PP en Javanais.txt, 0.6797884021068645, 0.9540785265925574
cleaned_2. Le PP en esperanto.txt, 0.6338839488104268, 0.7425926404891833
cleaned_33. Le PP en croatian.txt, 0.6744021755942753, 1.0874873939265364
cleaned_PP-0180_berbere-amazighe.txt, 0.5203322851800158, 0.5492697827416669
cleaned_71. Le PP en Kinyarwanda  .txt, 0.6759945338209351, 0.9527134662015304
cleaned_21 B Le PP en Berbere amazighe.txt, 0.6361813335636712, 0.7901126380893516
cleaned_6. Le PP en estonien.txt, 0.7502495108331777, 0.8988552334368684
cleaned_PP-0803_papiamento.txt, 0.6447815642058801, 0.7983018862304373
cleaned_25. Le PP en catalan.txt, 0.6550093301207396, 0.8964879190507192
cleaned_84. Le PP en Crokle vincentien.txt, 0.6214702186499861, 0.7714546373925464
cleaned_27. Le PP en armenien.txt, 0.7510162961554383, 0.7306268207695482
cleaned_32. Le PP en hebreu.txt, 0.44312673395269997, 0.593779145167393
cleaned_43. Le PP en Sranan.txt, 0.6060478164383334, 0.7681149933761904
cleaned_3. Le PP en viet.txt, 0.6509799401045642, 0.8133307087631162
cleaned_67. Le PP en Jawi.txt, 0.6807542587361499, 0.732579863096729
cleaned_57. Le PP en Karne.txt, 0.5339159306709194, 0.6221026096170512
cleaned_63. Le PP en Maya Tojobal.txt, 0.6202346182773866, 0.7511139217431051
cleaned_PP-5533 Oulta.txt, 0.5195453911089911, 0.26389994991656834
cleaned_PP-2980 yiddish de Varsovie.txt, 0.6196594762283065, 0.9245376604532183
cleaned_64. Le PP en Balinais.txt, 0.7150530458396275, 0.8174637198514182
cleaned_PP-1646 quechua_cuzquenien.txt, 0.6746138745588353, 0.7516684775269599
cleaned_42. Le PP en Armnien.txt, 0.5769367681716508, 0.7093794605320367
cleaned_83. Le PP en Khmer-Surin.txt, 0.5897958089610519, 0.7548717110075054
cleaned_72. Le PP en Ojibwe.txt, 0.7099649487711142, 0.8413419835617791
cleaned_33. Le PP en kazach.txt, 0.6154573844252533, 0.8208998752503643
cleaned_PP-3434_kirundi.txt, 0.7060712264873648, 0.9056508232566268
cleaned_18. Le PP en Tibtain.txt, 0.6800748058689433, 0.7785656533637607
cleaned_36. Le PP en bengali.txt, 0.6356466212416574, 0.5398209522901418
cleaned_54. Le PP en royasque tendasque.txt, 0.6443570520716836, 0.8291343813405152
cleaned_22. Le PP en Comorien.txt, 0.654128153077278, 0.8512404222904172
cleaned_9. Le PP en grecque.txt, 0.5445366395761374, 0.7052974906477213
cleaned_44. Le PP en creole jamacain.txt, 0.6184588937295441, 0.8207357157024073
cleaned_15. Le PP en franca nova.txt, 0.7667757719314643, 0.9228378079653559
cleaned_85. Le PP en Sarnami.txt, 0.6223166961639182, 0.840382599933415
cleaned_8. Le PP en latvian.txt, 0.6831128186538399, 0.921607725560755
cleaned_70. Le PP en Rapa Nui.txt, 0.5807513818949593, 0.6852250331348251
cleaned_40. Le PP en Kirundi.txt, 0.6661435283941308, 0.7585126148536286
cleaned_56.  Le PP en Mapuche.txt, 0.6241780022731229, 0.7876281199406178
cleaned_82. Le PP en Cebuano.txt, 0.6766865082309077, 0.9046849666273414
